SANTANDER - DITL;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Tax (IOF);;;;;USD;BRL;AC;VC;;;;;;;;;;;;;;;;;
10/02/26 ter;0,00%; 5,38 ;1.371.292,44 ; 261,22 ; 54.653,25 ; 1.371.553,66 ; 170.424,74 ; 6.615.754,18 ; 7.378.684,38 ; 762.930,21 ; 647,61 ; 56.808,25 ; -   ; -   ;;;;;;;;;;;;;;
11/02/26 qua;0,00%; 5,38 ;1.371.553,66 ; 261,27 ; 54.914,51 ; 1.371.814,93 ; 171.830,29 ; 6.617.159,74 ; 7.380.089,94 ; 762.930,21 ; 652,96 ; 57.276,76 ; -   ; -   ;;;;;;;;;;;;;;
12/02/26 qui;0,00%; 5,38 ;1.371.814,93 ; 261,32 ; 55.175,83 ; 1.372.076,24 ; 173.236,12 ; 6.618.565,56 ; 7.381.495,77 ; 762.930,21 ; 658,30 ; 57.745,37 ; -   ; -   ;;;;;;;;;;;;;;
13/02/26 sex;0,00%; 5,38 ;1.372.076,24 ; 261,37 ; 55.437,19 ; 1.372.337,61 ; 174.642,21 ; 6.619.971,65 ; 7.382.901,86 ; 762.930,21 ; 663,64 ; 58.214,07 ; -   ; -   ;;;;;;;;;;;;;;
14/02/26 sáb;0,00%; 5,38 ;1.372.337,61 ; 261,41 ; 55.698,61 ; 1.372.599,02 ; 176.048,57 ; 6.621.378,01 ; 7.384.308,22 ; 762.930,21 ; 668,98 ; 58.682,86 ; -   ; -   ;;;;;;;;;;;;;;
15/02/26 dom;0,00%; 5,38 ;1.372.599,02 ; 261,46 ; 55.960,07 ; 1.372.860,49 ; 177.455,20 ; 6.622.784,64 ; 7.385.714,85 ; 762.930,21 ; 674,33 ; 59.151,73 ; -   ; -   ;;;;;;;;;;;;;;
16/02/26 seg;0,00%; 5,38 ;1.372.860,49 ; 261,51 ; 56.221,59 ; 1.373.122,00 ; 178.862,10 ; 6.624.191,54 ; 7.387.121,74 ; 762.930,21 ; 679,68 ; 59.620,70 ; -   ; -   ;;;;;;;;;;;;;;
17/02/26 ter;0,00%; 5,38 ;1.373.122,00 ; 261,56 ; 56.483,15 ; 1.373.383,57 ; 180.269,26 ; 6.625.598,70 ; 7.388.528,91 ; 762.930,21 ; 685,02 ; 60.089,75 ; -   ; -   ;;;;;;;;;;;;;;
18/02/26 qua;0,00%; 5,38 ;1.373.383,57 ; 261,61 ; 56.744,76 ; 1.373.645,18 ; 181.676,69 ; 6.627.006,13 ; 7.389.936,34 ; 762.930,21 ; 690,37 ; 60.558,90 ; -   ; -   ;;;;;;;;;;;;;;
19/02/26 qui;0,00%; 5,38 ;1.373.645,18 ; 261,66 ; 57.006,43 ; 1.373.906,84 ; 183.084,39 ; 6.628.413,83 ; 7.391.344,04 ; 762.930,21 ; 695,72 ; 61.028,13 ; -   ; -   ;;;;;;;;;;;;;;
20/02/26 sex;0,00%; 5,38 ;1.373.906,84 ; 261,71 ; 57.268,14 ; 1.374.168,56 ; 184.492,36 ; 6.629.821,80 ; 7.392.752,01 ; 762.930,21 ; 701,07 ; 61.497,45 ; -   ; -   ;;;;;;;;;;;;;;
21/02/26 sáb;0,00%; 5,38 ;1.374.168,56 ; 261,76 ; 57.529,91 ; 1.374.430,32 ; 185.900,60 ; 6.631.230,04 ; 7.394.160,25 ; 762.930,21 ; 706,42 ; 61.966,87 ; -   ; -   ;;;;;;;;;;;;;;
22/02/26 dom;0,00%; 5,38 ;1.374.430,32 ; 261,81 ; 57.791,72 ; 1.374.692,14 ; 187.309,10 ; 6.632.638,54 ; 7.395.568,75 ; 762.930,21 ; 711,77 ; 62.436,37 ; -   ; -   ;;;;;;;;;;;;;;
23/02/26 seg;0,00%; 5,38 ;1.374.692,14 ; 261,86 ; 58.053,58 ; 1.374.954,00 ; 188.717,88 ; 6.634.047,32 ; 7.396.977,52 ; 762.930,21 ; 717,13 ; 62.905,96 ; -   ; -   ;;;;;;;;;;;;;;
24/02/26 ter;0,00%; 5,38 ;1.374.954,00 ; 261,91 ; 58.315,50 ; 1.375.215,91 ; 190.126,92 ; 6.635.456,36 ; 7.398.386,57 ; 762.930,21 ; 722,48 ; 63.375,64 ; -   ; -   ;;;;;;;;;;;;;;
25/02/26 qua;0,00%; 5,38 ;1.375.215,91 ; 261,96 ; 58.577,46 ; 1.375.477,88 ; 191.536,23 ; 6.636.865,67 ; 7.399.795,88 ; 762.930,21 ; 727,84 ; 63.845,41 ; -   ; -   ;;;;;;;;;;;;;;
26/02/26 qui;0,00%; 5,38 ;1.375.477,88 ; 262,01 ; 58.839,47 ; 1.375.739,89 ; 192.945,81 ; 6.638.275,25 ; 7.401.205,45 ; 762.930,21 ; 733,19 ; 64.315,27 ; -   ; -   ;;;;;;;;;;;;;;
27/02/26 sex;0,00%; 5,38 ;1.375.739,89 ; 262,06 ; 59.101,54 ; 1.376.001,95 ; 194.355,65 ; 6.639.685,10 ; 7.402.615,30 ; 762.930,21 ; 738,55 ; 64.785,22 ; -   ; -   ;;;;;;;;;;;;;;
28/02/26 sáb;0,00%; 5,38 ;1.376.001,95 ; 262,11 ; 59.363,65 ; 1.376.264,06 ; 195.765,77 ; 6.641.095,21 ; 7.404.025,42 ; 762.930,21 ; 743,91 ; 65.255,26 ; -   ; -   ;;;;;;;;;;;;;;
01/03/26 dom;0,00%; 5,38 ;1.376.264,06 ; 262,16 ; 59.625,81 ; 1.376.526,23 ; 197.176,15 ; 6.642.505,59 ; 7.405.435,80 ; 762.930,21 ; 749,27 ; 65.725,38 ; -   ; -   ;;;;;;;;;;;;;;
02/03/26 seg;0,00%; 5,38 ;1.376.526,23 ; 262,21 ; 59.888,03 ; 1.376.788,44 ; 198.586,81 ; 6.643.916,25 ; 7.406.846,45 ; 762.930,21 ; 754,63 ; 66.195,60 ; -   ; -   ;;;;;;;;;;;;;;
03/03/26 ter;0,00%; 5,38 ;1.376.788,44 ; 262,26 ; 60.150,29 ; 1.377.050,70 ; 199.997,73 ; 6.645.327,17 ; 7.408.257,37 ; 762.930,21 ; 759,99 ; 66.665,91 ; -   ; -   ;;;;;;;;;;;;;;
04/03/26 qua;0,00%; 5,38 ;1.377.050,70 ; 262,31 ; 60.412,60 ; 1.377.313,02 ; 201.408,92 ; 6.646.738,36 ; 7.409.668,56 ; 762.930,21 ; 765,35 ; 67.136,31 ; -   ; -   ;;;;;;;;;;;;;;
05/03/26 qui;0,00%; 5,38 ;1.377.313,02 ; 262,36 ; 60.674,96 ; 1.377.575,38 ; 202.820,38 ; 6.648.149,82 ; 7.411.080,02 ; 762.930,21 ; 770,72 ; 67.606,79 ; -   ; -   ;;;;;;;;;;;;;;
06/03/26 sex;0,00%; 5,38 ;1.377.575,38 ; 262,41 ; 60.937,38 ; 1.377.837,79 ; 204.232,10 ; 6.649.561,55 ; 7.412.491,75 ; 762.930,21 ; 776,08 ; 68.077,37 ; -   ; -   ;;;;;;;;;;;;;;
07/03/26 sáb;0,00%; 5,38 ;1.377.837,79 ; 262,46 ; 61.199,84 ; 1.378.100,25 ; 205.644,10 ; 6.650.973,54 ; 7.413.903,75 ; 762.930,21 ; 781,45 ; 68.548,03 ; -   ; -   ;;;;;;;;;;;;;;
08/03/26 dom;0,00%; 5,38 ;1.378.100,25 ; 262,51 ; 61.462,35 ; 1.378.362,77 ; 207.056,37 ; 6.652.385,81 ; 7.415.316,01 ; 762.930,21 ; 786,81 ; 69.018,79 ; -   ; -   ;;;;;;;;;;;;;;
09/03/26 seg;0,00%; 5,38 ;1.378.362,77 ; 262,56 ; 61.724,91 ; 1.378.625,33 ; 208.468,90 ; 6.653.798,34 ; 7.416.728,55 ; 762.930,21 ; 792,18 ; 69.489,63 ; -   ; -   ;;;;;;;;;;;;;;
10/03/26 ter;0,00%; 5,38 ;1.378.625,33 ; 262,61 ; 61.987,53 ; 1.378.887,94 ; 209.881,71 ; 6.655.211,15 ; 7.418.141,35 ; 762.930,21 ; 797,55 ; 69.960,57 ; -   ; -   ;;;;;;;;;;;;;;
11/03/26 qua;0,00%; 5,38 ;1.378.887,94 ; 262,66 ; 62.250,19 ; 1.379.150,61 ; 211.294,78 ; 6.656.624,22 ; 7.419.554,43 ; 762.930,21 ; 802,92 ; 70.431,59 ; -   ; -   ;;;;;;;;;;;;;;
12/03/26 qui;0,00%; 5,38 ;1.379.150,61 ; 262,71 ; 62.512,90 ; 1.379.413,32 ; 212.708,12 ; 6.658.037,56 ; 7.420.967,77 ; 762.930,21 ; 808,29 ; 70.902,71 ; -   ; -   ;;;;;;;;;;;;;;
13/03/26 sex;0,00%; 5,38 ;1.379.413,32 ; 262,76 ; 62.775,67 ; 1.379.676,08 ; 214.121,73 ; 6.659.451,17 ; 7.422.381,38 ; 762.930,21 ; 813,66 ; 71.373,91 ; -   ; -   ;;;;;;;;;;;;;;
14/03/26 sáb;0,00%; 5,38 ;1.379.676,08 ; 262,81 ; 63.038,48 ; 1.379.938,89 ; 215.535,61 ; 6.660.865,06 ; 7.423.795,26 ; 762.930,21 ; 819,04 ; 71.845,20 ; -   ; -   ;;;;;;;;;;;;;;
15/03/26 dom;0,00%; 5,38 ;1.379.938,89 ; 262,86 ; 63.301,34 ; 1.380.201,76 ; 216.949,76 ; 6.662.279,21 ; 7.425.209,41 ; 762.930,21 ; 824,41 ; 72.316,59 ; -   ; -   ;;;;;;;;;;;;;;
16/03/26 seg;0,00%; 5,38 ;1.380.201,76 ; 262,91 ; 63.564,25 ; 1.380.464,67 ; 218.364,18 ; 6.663.693,63 ; 7.426.623,83 ; 762.930,21 ; 829,78 ; 72.788,06 ; -   ; -   ;;;;;;;;;;;;;;
17/03/26 ter;0,00%; 5,38 ;1.380.464,67 ; 262,96 ; 63.827,22 ; 1.380.727,63 ; 219.778,87 ; 6.665.108,31 ; 7.428.038,52 ; 762.930,21 ; 835,16 ; 73.259,62 ; -   ; -   ;;;;;;;;;;;;;;
18/03/26 qua;0,00%; 5,38 ;1.380.727,63 ; 263,01 ; 64.090,23 ; 1.380.990,65 ; 221.193,83 ; 6.666.523,27 ; 7.429.453,48 ; 762.930,21 ; 840,54 ; 73.731,28 ; -   ; -   ;;;;;;;;;;;;;;
19/03/26 qui;0,00%; 5,38 ;1.380.990,65 ; 263,06 ; 64.353,29 ; 1.381.253,71 ; 222.609,06 ; 6.667.938,50 ; 7.430.868,71 ; 762.930,21 ; 845,91 ; 74.203,02 ; -   ; -   ;;;;;;;;;;;;;;
20/03/26 sex;0,00%; 5,38 ;1.381.253,71 ; 263,11 ; 64.616,41 ; 1.381.516,82 ; 224.024,56 ; 6.669.354,00 ; 7.432.284,20 ; 762.930,21 ; 851,29 ; 74.674,85 ; -   ; -   ;;;;;;;;;;;;;;
21/03/26 sáb;0,00%; 5,38 ;1.381.516,82 ; 263,16 ; 64.879,57 ; 1.381.779,99 ; 225.440,32 ; 6.670.769,76 ; 7.433.699,97 ; 762.930,21 ; 856,67 ; 75.146,77 ; -   ; -   ;;;;;;;;;;;;;;
22/03/26 dom;0,00%; 5,38 ;1.381.779,99 ; 263,21 ; 65.142,78 ; 1.382.043,20 ; 226.856,36 ; 6.672.185,80 ; 7.435.116,01 ; 762.930,21 ; 862,05 ; 75.618,79 ; -   ; -   ;;;;;;;;;;;;;;
23/03/26 seg;0,00%; 5,38 ;1.382.043,20 ; 263,26 ; 65.406,05 ; 1.382.306,46 ; 228.272,67 ; 6.673.602,11 ; 7.436.532,31 ; 762.930,21 ; 867,44 ; 76.090,89 ; -   ; -   ;;;;;;;;;;;;;;
24/03/26 ter;0,00%; 5,38 ;1.382.306,46 ; 263,31 ; 65.669,36 ; 1.382.569,78 ; 229.689,24 ; 6.675.018,68 ; 7.437.948,89 ; 762.930,21 ; 872,82 ; 76.563,08 ; -   ; -   ;;;;;;;;;;;;;;
25/03/26 qua;0,00%; 5,38 ;1.382.569,78 ; 263,36 ; 65.932,73 ; 1.382.833,14 ; 231.106,09 ; 6.676.435,53 ; 7.439.365,74 ; 762.930,21 ; 878,20 ; 77.035,36 ; -   ; -   ;;;;;;;;;;;;;;
26/03/26 qui;0,00%; 5,38 ;1.382.833,14 ; 263,41 ; 66.196,14 ; 1.383.096,56 ; 232.523,21 ; 6.677.852,65 ; 7.440.782,85 ; 762.930,21 ; 883,59 ; 77.507,74 ; -   ; -   ;;;;;;;;;;;;;;
27/03/26 sex;0,00%; 5,38 ;1.383.096,56 ; 263,46 ; 66.459,61 ; 1.383.360,02 ; 233.940,59 ; 6.679.270,03 ; 7.442.200,24 ; 762.930,21 ; 888,97 ; 77.980,20 ; -   ; -   ;;;;;;;;;;;;;;
28/03/26 sáb;0,00%; 5,38 ;1.383.360,02 ; 263,51 ; 66.723,12 ; 1.383.623,54 ; 235.358,25 ; 6.680.687,69 ; 7.443.617,89 ; 762.930,21 ; 894,36 ; 78.452,75 ; -   ; -   ;;;;;;;;;;;;;;
29/03/26 dom;0,00%; 5,38 ;1.383.623,54 ; 263,56 ; 66.986,68 ; 1.383.887,10 ; 236.776,17 ; 6.682.105,62 ; 7.445.035,82 ; 762.930,21 ; 899,75 ; 78.925,39 ; -   ; -   ;;;;;;;;;;;;;;
30/03/26 seg;0,00%; 5,38 ;1.383.887,10 ; 263,62 ; 67.250,30 ; 1.384.150,72 ; 238.194,37 ; 6.683.523,81 ; 7.446.454,02 ; 762.930,21 ; 905,14 ; 79.398,12 ; -   ; -   ;;;;;;;;;;;;;;
31/03/26 ter;0,00%; 5,38 ;1.384.150,72 ; 263,67 ; 67.513,97 ; 1.384.414,38 ; 239.612,84 ; 6.684.942,28 ; 7.447.872,48 ; 762.930,21 ; 910,53 ; 79.870,95 ; -   ; -   ;;;;;;;;;;;;;;
01/04/26 qua;0,00%; 5,38 ;1.384.414,38 ; 263,72 ; 67.777,68 ; 1.384.678,10 ; 241.031,57 ; 6.686.361,01 ; 7.449.291,22 ; 762.930,21 ; 915,92 ; 80.343,86 ; -   ; -   ;;;;;;;;;;;;;;
02/04/26 qui;0,00%; 5,38 ;1.384.678,10 ; 263,77 ; 68.041,45 ; 1.384.941,86 ; 242.450,58 ; 6.687.780,02 ; 7.450.710,23 ; 762.930,21 ; 921,31 ; 80.816,86 ; -   ; -   ;;;;;;;;;;;;;;
03/04/26 sex;0,00%; 5,38 ;1.384.941,86 ; 263,82 ; 68.305,26 ; 1.385.205,68 ; 243.869,86 ; 6.689.199,30 ; 7.452.129,50 ; 762.930,21 ; 926,71 ; 81.289,95 ; -   ; -   ;;;;;;;;;;;;;;
04/04/26 sáb;0,00%; 5,38 ;1.385.205,68 ; 263,87 ; 68.569,13 ; 1.385.469,54 ; 245.289,40 ; 6.690.618,85 ; 7.453.549,05 ; 762.930,21 ; 932,10 ; 81.763,13 ; -   ; -   ;;;;;;;;;;;;;;
05/04/26 dom;0,00%; 5,38 ;1.385.469,54 ; 263,92 ; 68.833,04 ; 1.385.733,46 ; 246.709,22 ; 6.692.038,66 ; 7.454.968,87 ; 762.930,21 ; 937,50 ; 82.236,41 ; -   ; -   ;;;;;;;;;;;;;;
06/04/26 seg;0,00%; 5,38 ;1.385.733,46 ; 263,97 ; 69.097,01 ; 1.385.997,43 ; 248.129,31 ; 6.693.458,75 ; 7.456.388,96 ; 762.930,21 ; 942,89 ; 82.709,77 ; -   ; -   ;;;;;;;;;;;;;;
07/04/26 ter;0,00%; 5,38 ;1.385.997,43 ; 264,02 ; 69.361,03 ; 1.386.261,44 ; 249.549,67 ; 6.694.879,11 ; 7.457.809,32 ; 762.930,21 ; 948,29 ; 83.183,22 ; -   ; -   ;;;;;;;;;;;;;;
08/04/26 qua;0,00%; 5,38 ;1.386.261,44 ; 264,07 ; 69.625,10 ; 1.386.525,51 ; 250.970,30 ; 6.696.299,74 ; 7.459.229,95 ; 762.930,21 ; 953,69 ; 83.656,77 ; -   ; -   ;;;;;;;;;;;;;;
09/04/26 qui;0,00%; 5,38 ;1.386.525,51 ; 264,12 ; 69.889,21 ; 1.386.789,63 ; 252.391,20 ; 6.697.720,64 ; 7.460.650,85 ; 762.930,21 ; 959,09 ; 84.130,40 ; -   ; -   ;;;;;;;;;;;;;;
10/04/26 sex;0,00%; 5,38 ;1.386.789,63 ; 264,17 ; 70.153,38 ; 1.387.053,80 ; 253.812,37 ; 6.699.141,81 ; 7.462.072,02 ; 762.930,21 ; 964,49 ; 84.604,12 ; -   ; -   ;;;;;;;;;;;;;;
11/04/26 sáb;0,00%; 5,38 ;1.387.053,80 ; 264,22 ; 70.417,60 ; 1.387.318,02 ; 255.233,81 ; 6.700.563,25 ; 7.463.493,46 ; 762.930,21 ; 969,89 ; 85.077,94 ; -   ; -   ;;;;;;;;;;;;;;
12/04/26 dom;0,00%; 5,38 ;1.387.318,02 ; 264,27 ; 70.681,87 ; 1.387.582,28 ; 256.655,52 ; 6.701.984,96 ; 7.464.915,17 ; 762.930,21 ; 975,29 ; 85.551,84 ; -   ; -   ;;;;;;;;;;;;;;
13/04/26 seg;0,00%; 5,38 ;1.387.582,28 ; 264,32 ; 70.946,19 ; 1.387.846,60 ; 258.077,51 ; 6.703.406,95 ; 7.466.337,15 ; 762.930,21 ; 980,69 ; 86.025,84 ; -   ; -   ;;;;;;;;;;;;;;
14/04/26 ter;0,00%; 5,38 ;1.387.846,60 ; 264,37 ; 71.210,56 ; 1.388.110,97 ; 259.499,76 ; 6.704.829,20 ; 7.467.759,41 ; 762.930,21 ; 986,10 ; 86.499,92 ; -   ; -   ;;;;;;;;;;;;;;
15/04/26 qua;0,00%; 5,38 ;1.388.110,97 ; 264,42 ; 71.474,98 ; 1.388.375,39 ; 260.922,28 ; 6.706.251,73 ; 7.469.181,93 ; 762.930,21 ; 991,50 ; 86.974,09 ; -   ; -   ;;;;;;;;;;;;;;
16/04/26 qui;0,00%; 5,38 ;1.388.375,39 ; 264,47 ; 71.739,45 ; 1.388.639,86 ; 262.345,08 ; 6.707.674,52 ; 7.470.604,73 ; 762.930,21 ; 996,91 ; 87.448,36 ; -   ; -   ;;;;;;;;;;;;;;
17/04/26 sex;0,00%; 5,38 ;1.388.639,86 ; 264,52 ; 72.003,97 ; 1.388.904,38 ; 263.768,15 ; 6.709.097,59 ; 7.472.027,79 ; 762.930,21 ; 1.002,32 ; 87.922,72 ; -   ; -   ;;;;;;;;;;;;;;
18/04/26 sáb;0,00%; 5,38 ;1.388.904,38 ; 264,57 ; 72.268,54 ; 1.389.168,95 ; 265.191,48 ; 6.710.520,93 ; 7.473.451,13 ; 762.930,21 ; 1.007,73 ; 88.397,16 ; -   ; -   ;;;;;;;;;;;;;;
19/04/26 dom;0,00%; 5,38 ;1.389.168,95 ; 264,62 ; 72.533,16 ; 1.389.433,57 ; 266.615,09 ; 6.711.944,53 ; 7.474.874,74 ; 762.930,21 ; 1.013,14 ; 88.871,70 ; -   ; -   ;;;;;;;;;;;;;;
20/04/26 seg;0,00%; 5,38 ;1.389.433,57 ; 264,67 ; 72.797,83 ; 1.389.698,25 ; 268.038,97 ; 6.713.368,41 ; 7.476.298,62 ; 762.930,21 ; 1.018,55 ; 89.346,32 ; -   ; -   ;;;;;;;;;;;;;;
21/04/26 ter;0,00%; 5,38 ;1.389.698,25 ; 264,72 ; 73.062,55 ; 1.389.962,97 ; 269.463,12 ; 6.714.792,57 ; 7.477.722,77 ; 762.930,21 ; 1.023,96 ; 89.821,04 ; -   ; -   ;;;;;;;;;;;;;;
22/04/26 qua;0,00%; 5,38 ;1.389.962,97 ; 264,77 ; 73.327,32 ; 1.390.227,74 ; 270.887,55 ; 6.716.216,99 ; 7.479.147,19 ; 762.930,21 ; 1.029,37 ; 90.295,85 ; -   ; -   ;;;;;;;;;;;;;;
23/04/26 qui;0,00%; 5,38 ;1.390.227,74 ; 264,82 ; 73.592,15 ; 1.390.492,56 ; 272.312,24 ; 6.717.641,68 ; 7.480.571,89 ; 762.930,21 ; 1.034,79 ; 90.770,75 ; -   ; -   ;;;;;;;;;;;;;;
24/04/26 sex;0,00%; 5,38 ;1.390.492,56 ; 264,87 ; 73.857,02 ; 1.390.757,44 ; 273.737,21 ; 6.719.066,65 ; 7.481.996,85 ; 762.930,21 ; 1.040,20 ; 91.245,74 ; -   ; -   ;;;;;;;;;;;;;;
25/04/26 sáb;0,00%; 5,38 ;1.390.757,44 ; 264,92 ; 74.121,94 ; 1.391.022,36 ; 275.162,44 ; 6.720.491,89 ; 7.483.422,09 ; 762.930,21 ; 1.045,62 ; 91.720,81 ; -   ; -   ;;;;;;;;;;;;;;
26/04/26 dom;0,00%; 5,38 ;1.391.022,36 ; 264,97 ; 74.386,92 ; 1.391.287,33 ; 276.587,95 ; 6.721.917,39 ; 7.484.847,60 ; 762.930,21 ; 1.051,03 ; 92.195,98 ; -   ; -   ;;;;;;;;;;;;;;
27/04/26 seg;0,00%; 5,38 ;1.391.287,33 ; 265,02 ; 74.651,94 ; 1.391.552,36 ; 278.013,73 ; 6.723.343,17 ; 7.486.273,38 ; 762.930,21 ; 1.056,45 ; 92.671,24 ; -   ; -   ;;;;;;;;;;;;;;
28/04/26 ter;0,00%; 5,38 ;1.391.552,36 ; 265,08 ; 74.917,02 ; 1.391.817,43 ; 279.439,78 ; 6.724.769,22 ; 7.487.699,43 ; 762.930,21 ; 1.061,87 ; 93.146,59 ; -   ; -   ;;;;;;;;;;;;;;
29/04/26 qua;0,00%; 5,38 ;1.391.817,43 ; 265,13 ; 75.182,14 ; 1.392.082,56 ; 280.866,11 ; 6.726.195,55 ; 7.489.125,75 ; 762.930,21 ; 1.067,29 ; 93.622,04 ; -   ; -   ;;;;;;;;;;;;;;
30/04/26 qui;0,00%; 5,38 ;1.392.082,56 ; 265,18 ; 75.447,32 ; 1.392.347,74 ; 282.292,70 ; 6.727.622,14 ; 7.490.552,35 ; 762.930,21 ; 1.072,71 ; 94.097,57 ; -   ; -   ;;;;;;;;;;;;;;
01/05/26 sex;0,00%; 5,38 ;1.392.347,74 ; 265,23 ; 75.712,55 ; 1.392.612,96 ; 283.719,57 ; 6.729.049,01 ; 7.491.979,21 ; 762.930,21 ; 1.078,13 ; 94.573,19 ; -   ; -   ;;;;;;;;;;;;;;
02/05/26 sáb;0,00%; 5,38 ;1.392.612,96 ; 265,28 ; 75.977,82 ; 1.392.878,24 ; 285.146,71 ; 6.730.476,15 ; 7.493.406,35 ; 762.930,21 ; 1.083,56 ; 95.048,90 ; -   ; -   ;;;;;;;;;;;;;;
03/05/26 dom;0,00%; 5,38 ;1.392.878,24 ; 265,33 ; 76.243,15 ; 1.393.143,57 ; 286.574,12 ; 6.731.903,56 ; 7.494.833,76 ; 762.930,21 ; 1.088,98 ; 95.524,71 ; -   ; -   ;;;;;;;;;;;;;;
04/05/26 seg;0,00%; 5,38 ;1.393.143,57 ; 265,38 ; 76.508,53 ; 1.393.408,95 ; 288.001,80 ; 6.733.331,24 ; 7.496.261,45 ; 762.930,21 ; 1.094,41 ; 96.000,60 ; -   ; -   ;;;;;;;;;;;;;;
05/05/26 ter;0,00%; 5,38 ;1.393.408,95 ; 265,43 ; 76.773,96 ; 1.393.674,37 ; 289.429,75 ; 6.734.759,19 ; 7.497.689,40 ; 762.930,21 ; 1.099,83 ; 96.476,58 ; -   ; -   ;;;;;;;;;;;;;;
06/05/26 qua;0,00%; 5,38 ;1.393.674,37 ; 265,48 ; 77.039,44 ; 1.393.939,85 ; 290.857,98 ; 6.736.187,42 ; 7.499.117,63 ; 762.930,21 ; 1.105,26 ; 96.952,66 ; -   ; -   ;;;;;;;;;;;;;;
07/05/26 qui;0,00%; 5,38 ;1.393.939,85 ; 265,53 ; 77.304,97 ; 1.394.205,38 ; 292.286,48 ; 6.737.615,92 ; 7.500.546,12 ; 762.930,21 ; 1.110,69 ; 97.428,83 ; -   ; -   ;;;;;;;;;;;;;;
08/05/26 sex;0,00%; 5,38 ;1.394.205,38 ; 265,58 ; 77.570,55 ; 1.394.470,96 ; 293.715,25 ; 6.739.044,69 ; 7.501.974,89 ; 762.930,21 ; 1.116,12 ; 97.905,08 ; -   ; -   ;;;;;;;;;;;;;;
09/05/26 sáb;0,00%; 5,38 ;1.394.470,96 ; 265,63 ; 77.836,18 ; 1.394.736,60 ; 295.144,29 ; 6.740.473,73 ; 7.503.403,94 ; 762.930,21 ; 1.121,55 ; 98.381,43 ; -   ; -   ;;;;;;;;;;;;;;
10/05/26 dom;0,00%; 5,38 ;1.394.736,60 ; 265,68 ; 78.101,86 ; 1.395.002,28 ; 296.573,60 ; 6.741.903,05 ; 7.504.833,25 ; 762.930,21 ; 1.126,98 ; 98.857,87 ; -   ; -   ;;;;;;;;;;;;;;
11/05/26 seg;0,00%; 5,38 ;1.395.002,28 ; 265,73 ; 78.367,59 ; 1.395.268,01 ; 298.003,19 ; 6.743.332,63 ; 7.506.262,84 ; 762.930,21 ; 1.132,41 ; 99.334,40 ; -   ; -   ;;;;;;;;;;;;;;
12/05/26 ter;0,00%; 5,38 ;1.395.268,01 ; 265,78 ; 78.633,38 ; 1.395.533,79 ; 299.433,05 ; 6.744.762,49 ; 7.507.692,70 ; 762.930,21 ; 1.137,85 ; 99.811,02 ; -   ; -   ;;;;;;;;;;;;;;
13/05/26 qua;0,00%; 5,38 ;1.395.533,79 ; 265,83 ; 78.899,21 ; 1.395.799,63 ; 300.863,18 ; 6.746.192,62 ; 7.509.122,83 ; 762.930,21 ; 1.143,28 ; 100.287,73 ; -   ; -   ;;;;;;;;;;;;;;
14/05/26 qui;0,00%; 5,38 ;1.395.799,63 ; 265,88 ; 79.165,10 ; 1.396.065,51 ; 302.293,59 ; 6.747.623,03 ; 7.510.553,23 ; 762.930,21 ; 1.148,72 ; 100.764,53 ; -   ; -   ;;;;;;;;;;;;;;
15/05/26 sex;0,00%; 5,38 ;1.396.065,51 ; 265,93 ; 79.431,03 ; 1.396.331,45 ; 303.724,26 ; 6.749.053,70 ; 7.511.983,91 ; 762.930,21 ; 1.154,15 ; 101.241,42 ; -   ; -   ;;;;;;;;;;;;;;
16/05/26 sáb;0,00%; 5,38 ;1.396.331,45 ; 265,99 ; 79.697,02 ; 1.396.597,43 ; 305.155,21 ; 6.750.484,65 ; 7.513.414,86 ; 762.930,21 ; 1.159,59 ; 101.718,40 ; -   ; -   ;;;;;;;;;;;;;;
17/05/26 dom;0,00%; 5,38 ;1.396.597,43 ; 266,04 ; 79.963,05 ; 1.396.863,47 ; 306.586,43 ; 6.751.915,87 ; 7.514.846,08 ; 762.930,21 ; 1.165,03 ; 102.195,48 ; -   ; -   ;;;;;;;;;;;;;;
18/05/26 seg;0,00%; 5,38 ;1.396.863,47 ; 266,09 ; 80.229,14 ; 1.397.129,55 ; 308.017,93 ; 6.753.347,37 ; 7.516.277,57 ; 762.930,21 ; 1.170,47 ; 102.672,64 ; -   ; -   ;;;;;;;;;;;;;;
19/05/26 ter;0,00%; 5,38 ;1.397.129,55 ; 266,14 ; 80.495,28 ; 1.397.395,69 ; 309.449,69 ; 6.754.779,14 ; 7.517.709,34 ; 762.930,21 ; 1.175,91 ; 103.149,90 ; -   ; -   ;;;;;;;;;;;;;;
20/05/26 qua;0,00%; 5,38 ;1.397.395,69 ; 266,19 ; 80.761,46 ; 1.397.661,88 ; 310.881,73 ; 6.756.211,18 ; 7.519.141,38 ; 762.930,21 ; 1.181,35 ; 103.627,24 ; -   ; -   ;;;;;;;;;;;;;;
21/05/26 qui;0,00%; 5,38 ;1.397.661,88 ; 266,24 ; 81.027,70 ; 1.397.928,12 ; 312.314,05 ; 6.757.643,49 ; 7.520.573,69 ; 762.930,21 ; 1.186,79 ; 104.104,68 ; -   ; -   ;;;;;;;;;;;;;;
